0.00,-1,-1
0.04,-1,-1
0.08,-1,-1
0.13,-1,-1
0.17,-1,-1
0.21,-1,-1
0.25,-1,-1
0.29,-1,-1
0.33,-1,-1
0.38,-1,-1
0.42,-1,-1
0.46,-1,-1
0.50,-1,-1
0.54,-1,-1
0.58,-1,-1
0.63,-1,-1
0.67,-1,-1
0.71,-1,-1
0.75,-1,-1
0.79,-1,-1
0.83,-1,-1
0.88,-1,-1
0.92,-1,-1
0.96,-1,-1
1.00,-1,-1
1.04,-1,-1
1.08,-1,-1
1.13,-1,-1
1.17,-1,-1
1.21,-1,-1
1.25,-1,-1
1.29,-1,-1
1.33,-1,-1
1.38,-1,-1
1.42,-1,-1
1.46,-1,-1
1.50,-1,-1
1.54,-1,-1
1.58,-1,-1
1.63,-1,-1
1.67,-1,-1
1.71,-1,-1
1.75,-1,-1
1.79,-1,-1
1.84,-1,-1
1.88,-1,-1
1.92,-1,-1
1.96,-1,-1
2.00,-1,-1
2.04,-1,-1
2.09,-1,-1
2.13,-1,-1
2.17,-1,-1
2.21,-1,-1
2.25,-1,-1
2.29,-1,-1
2.34,-1,-1
2.38,-1,-1
2.42,-1,-1
2.46,-1,-1
2.50,-1,-1
2.54,-1,-1
2.59,-1,-1
2.63,-1,-1
2.67,-1,-1
2.71,-1,-1
2.75,-1,-1
2.79,-1,-1
2.84,-1,-1
2.88,-1,-1
2.92,-1,-1
2.96,-1,-1
3.00,-1,-1
3.04,-1,-1
3.09,-1,-1
3.13,-1,-1
3.17,-1,-1
3.21,-1,-1
3.25,-1,-1
3.29,-1,-1
3.34,-1,-1
3.38,-1,-1
3.42,-1,-1
3.46,-1,-1
3.50,-1,-1
3.55,-1,-1
3.59,-1,-1
3.63,-1,-1
3.67,-1,-1
3.71,-1,-1
3.75,-1,-1
3.80,-1,-1
3.84,-1,-1
3.88,-1,-1
3.92,-1,-1
3.96,-1,-1
4.00,-1,-1
4.05,-1,-1
4.09,-1,-1
4.13,-1,-1
4.17,-1,-1
4.21,-1,-1
4.25,-1,-1
4.30,-1,-1
4.34,-1,-1
4.38,-1,-1
4.42,-1,-1
4.46,-1,-1
4.50,-1,-1
4.55,-1,-1
4.59,-1,-1
4.63,-1,-1
4.67,-1,-1
4.71,-1,-1
4.75,-1,-1
4.80,-1,-1
4.84,-1,-1
4.88,-1,-1
4.92,-1,-1
4.96,-1,-1
5.01,-1,-1
5.05,-1,-1
5.09,-1,-1
5.13,-1,-1
5.17,-1,-1
5.21,-1,-1
5.26,-1,-1
5.30,-1,-1
5.34,-1,-1
5.38,-1,-1
5.42,-1,-1
5.46,-1,-1
5.51,-1,-1
5.55,-1,-1
5.59,-1,-1
5.63,-1,-1
